y1,y2,y3,y4,gen,race,income
50,80,100,50,0,0,49.750957051145
99,50,100,100,1,1,53.5120888742595
100,100,0,0,0,0,49.2076177591658
90,100,100,100,1,0,51.5719644598275
75,100,100,100,1,1,50.1072701501
0,0,100,100,1,1,49.1855555472911
25,0,1,0,0,1,38.6665987562399
34,0,0,0,1,0,42.3878028093174
25,50,50,50,0,0,51.7391171939215
90,80,100,90,1,0,48.9933686326269
80,75,75,75,0,1,43.9404157010506
10,98,60,95,1,0,44.5255945722514
0,0,0,0,1,0,50.70436326197
0,5,50,50,0,0,50.4373581687855
100,100,100,100,1,0,50.2178551060255
0,89,95,95,1,0,52.602035077969
85,90,99,90,0,0,54.618029327408
75,75,99,90,0,0,50.5823099665355
90,95,95,80,0,0,49.0224108453847
100,0,0,100,1,0,49.4466256751969
75,89,0,100,1,0,45.7758867540695
0,100,100,100,1,0,46.4271583155246
100,10,50,100,0,0,49.7578547356298
95,0,0,50,0,0,52.531768518649
90,50,100,100,1,0,49.3991792534204
100,0,100,100,1,0,46.3518610546184
0,0,0,0,1,0,51.120035522595
89,100,0,100,0,0,47.2847705255872
4,80,50,50,0,1,45.8092567078989
90,100,100,100,1,0,53.327902723872
95,99,99,50,0,1,51.136443143649
0,100,0,0,1,1,49.5703225914025
0,100,50,50,1,0,51.37051499818
100,100,100,50,0,0,49.4296248248511
100,100,100,100,1,1,49.636214609561
100,0,100,100,0,0,54.4788811347545
50,0,50,50,0,1,45.6096182580288
5,2,5,0,0,0,51.6047987210035
100,100,90,75,1,1,50.311548332474
100,10,50,25,0,0,54.771793381847
0,100,100,0,0,0,55.010082200075
100,75,50,75,1,0,47.6544329159297
50,0,100,100,1,1,52.163544175459
100,10,0,90,0,1,47.5381432705414
50,30,50,100,0,1,44.1192431934782
50,0,1,100,0,1,48.6117355250871
100,5,0,20,0,0,46.5379192548445
99,100,1,100,1,0,52.5195866521595
25,50,50,50,1,0,48.3707841595722
0,0,50,50,0,1,39.3649953891226
50,50,75,75,1,1,48.274895734322
20,0,0,10,1,1,49.6069163648563
78,100,100,50,0,1,51.8465247339195
50,100,0,0,1,0,43.7668921393605
0,0,100,0,1,0,46.7526820464882
100,100,100,100,1,0,50.7160224357795
0,9,2,45,0,1,51.1515493361675
90,98,100,90,0,0,52.001040344712
90,50,0,50,1,0,42.5813444216416
100,100,100,100,1,0,42.3188111029132
75,50,75,50,0,1,47.5226300777145
0,0,0,100,1,0,46.8111078776369
0,95,95,99,1,0,52.6524158398655
100,100,80,99,1,1,35.7647185047309
100,100,100,100,0,1,46.278538388801
0,0,0,0,0,1,53.224974460528
99,50,99,100,1,1,44.5030518660814
10,0,25,0,1,1,47.5821466114727
0,99,100,1,0,1,47.8146436198869
0,99,99,100,1,1,40.8931549902179
100,100,0,100,1,1,45.7194589898972
90,100,100,100,1,1,50.4729871138985
50,20,8,10,0,1,43.5578890851884
100,100,100,100,1,0,53.6148016545255
100,100,100,100,1,0,46.2353345413854
50,0,0,40,0,1,47.2169275875068
80,90,100,80,1,1,49.9867851499148
100,100,100,100,0,0,52.8853763810395
0,0,20,0,0,1,39.7302484623511
95,90,95,90,0,0,55.06545939407
0,98,0,2,1,0,51.349216063021
0,100,0,100,0,0,52.4478123454535
50,60,0,50,0,0,46.3320192935843
10,0,0,0,0,1,49.94892274837
25,0,0,0,0,1,54.6486981009275
100,50,0,0,1,1,47.5781808309803
0,5,50,100,0,1,51.353251072334
50,50,100,50,0,1,46.2400365021398
95,100,100,90,0,0,45.2768097534978
100,100,100,0,1,0,53.3859239941075
100,100,100,0,1,0,47.1117106312062
90,75,99,80,0,0,50.017302490728
0,0,95,80,1,0,50.1261534236155
0,10,5,45,0,0,49.8226309679545
80,100,100,0,0,1,50.9522633057985
90,70,70,0,1,0,44.3672156432126
10,0,80,90,0,0,54.1068024586615
90,80,80,50,0,0,51.6414849798395
99,90,100,0,1,1,35.1643865297271
100,50,100,100,1,1,51.977753810414
20,100,0,50,1,1,50.919422852009
0,50,0,0,1,1,46.4779400513376
50,99,100,50,0,1,49.8106487321232
50,0,0,0,0,0,53.1728551709005
95,90,100,100,0,0,52.528745319683
99,90,0,100,1,1,44.9881962046905
0,0,0,0,1,0,51.790034250454
100,0,100,0,1,0,54.4591038767515
100,80,100,100,0,0,50.644983891251
79,100,50,0,0,0,54.9055263487585
90,95,75,90,1,0,50.6548022405605
100,50,100,100,1,0,48.477526523833
100,100,100,100,0,1,47.7822767513512
100,100,0,0,1,0,48.8375341741947
